car_id,listed_date,city,brand,model,year,mileage_km,fuel_type,transmission,engine_l,owners_count,accident_history,condition,color,seller_type,service_records,warranty_months,price_sar
CR-70036,2026-04-13,Makkah,Chevrolet,Malibu,2013,243479.0,Petrol,Automatic,2.0,3,1,Fair,Black,Dealer,0,0,18000
CR-70037,2026-07-16,Khobar,GMC,Yukon,2014,238486.0,Petrol,Automatic,5.3,3,0,Good,Gray,Private,0,0,63500
CR-70038,2026-06-14,Abha,Toyota,Corolla,2017,186064.0,Petrol,Automatic,1.6,4,1,Good,Red,Dealer,1,6,20200
CR-70039,2026-06-18,Tabuk,Nissan,Patrol,2020,113077.0,Petrol,Automatic,4.0,1,0,Good,White,Dealer,1,0,179500
CR-70040,2026-06-05,Abha,Nissan,Altima,2014,233888.0,Petrol,Manual,2.0,2,0,Good,White,Private,0,12,18000
CR-70041,2026-05-31,Khobar,Chevrolet,Malibu,2014,226084.0,Hybrid,Automatic,2.0,4,1,Good,White,Auction,1,0,18000
CR-70042,2026-04-06,Makkah,Toyota,Corolla,2018,168750.0,Petrol,Automatic,1.6,3,0,Good,White,Private,0,6,29400
CR-70043,2026-07-09,Riyadh,Hyundai,Tucson,2016,184391.0,Petrol,Automatic,2.0,1,0,Fair,White,Dealer,0,0,35000
CR-70044,2026-05-07,Jeddah,Mercedes-Benz,E-Class,2018,169395.0,Petrol,Automatic,3.0,1,0,Fair,Black,Private,1,0,103200
CR-70045,2026-07-22,Abha,Chevrolet,Malibu,2022,91159.0,Petrol,Automatic,1.5,2,0,Good,Red,Dealer,0,12,50300
CR-70046,2026-05-31,Madinah,Nissan,Patrol,2019,123242.0,Petrol,Automatic,5.6,2,0,Fair,Black,Dealer,1,24,136900
CR-70047,2026-07-20,Jeddah,Toyota,Land Cruiser,2023,79469.0,Petrol,Automatic,4.0,1,0,Good,White,Private,1,0,261000
CR-70048,2026-06-02,Riyadh,Hyundai,Elantra,2016,,Petrol,Automatic,1.6,1,0,Excellent,White,Dealer,1,6,28700
CR-70049,2026-05-29,Dammam,Ford,Explorer,2023,70757.0,Petrol,Automatic,2.3,2,0,Good,Gray,Dealer,1,0,150400
CR-70050,2026-06-12,Riyadh,Honda,Civic,2025,,Petrol,Automatic,1.5,3,0,Fair,White,Auction,1,6,52700
CR-70051,2026-04-24,Jeddah,Toyota,Camry,2014,212929.0,Petrol,Automatic,2.5,1,0,Good,White,Dealer,1,12,34500
CR-70052,2026-04-09,Khobar,Ford,Explorer,2018,140147.0,Petrol,Automatic,2.3,3,0,Excellent,Silver,Private,1,12,77100
CR-70053,2026-05-06,Jeddah,Mercedes-Benz,E-Class,2024,29008.0,Petrol,Automatic,2.0,2,0,Good,Blue,Private,1,12,249200
CR-70054,2026-05-17,Khobar,Nissan,Patrol,2025,31979.0,Petrol,Automatic,4.0,1,0,Good,Black,Private,1,6,279000
CR-70055,2026-07-19,Khobar,Toyota,Land Cruiser,2017,,Petrol,Automatic,4.0,3,0,Fair,Gray,Private,0,24,116300
CR-70056,2026-05-26,Khobar,Hyundai,Tucson,2025,29593.0,Petrol,Manual,2.5,3,0,Fair,Black,Dealer,1,12,82000
CR-70057,2026-07-19,Tabuk,GMC,Yukon,2015,204992.0,Petrol,Manual,5.3,1,0,Excellent,Red,Dealer,1,6,83400
CR-70058,2026-05-27,Abha,Chevrolet,Tahoe,2021,87096.0,Petrol,Automatic,6.2,1,1,Good,Silver,Dealer,1,12,145900
CR-70059,2026-06-25,Khobar,GMC,Yukon,2015,215741.0,Petrol,Automatic,5.3,1,0,Excellent,Blue,Dealer,0,12,90100
CR-70060,2026-05-18,Makkah,Toyota,Camry,2024,45927.0,Petrol,Automatic,2.5,2,1,Fair,Gray,Dealer,1,12,81200
CR-70061,2026-05-01,Abha,Kia,Cerato,2024,42459.0,Petrol,Automatic,1.6,2,1,Good,White,Auction,1,0,43300
CR-70062,2026-06-14,,GMC,Yukon,2018,152397.0,Petrol,Automatic,6.2,1,0,Excellent,Silver,Dealer,1,0,142300
CR-70063,2026-04-28,Riyadh,BMW,5 Series,2024,45693.0,Petrol,Automatic,2.0,2,0,Good,Gray,Private,1,12,211000
CR-70064,2026-07-11,Khobar,Toyota,Camry,2024,46210.0,Petrol,Manual,2.5,3,0,Excellent,White,Dealer,0,24,98100
CR-70065,2026-05-22,Dammam,Toyota,Camry,2024,47785.0,Petrol,Automatic,2.0,2,0,Good,White,Dealer,0,0,101500
CR-70066,2026-04-18,Dammam,Mazda,CX-5,2021,84861.0,Petrol,Automatic,2.0,1,0,Fair,White,Private,1,6,61700
CR-70067,2026-06-07,Madinah,Chevrolet,Malibu,2020,112659.0,Petrol,Manual,1.5,3,0,Good,,Dealer,1,0,37100
CR-70068,2026-07-08,Jeddah,Hyundai,Sonata,2014,228616.0,Petrol,Automatic,2.0,2,0,Excellent,Blue,Dealer,1,24,24300
CR-70069,2026-08-01,Abha,Ford,Explorer,2017,175180.0,Petrol,Automatic,2.3,1,0,Excellent,White,Dealer,1,0,77700
CR-70070,2026-04-29,Tabuk,Kia,Cerato,2019,153369.0,Petrol,Automatic,2.0,1,0,Good,White,Private,0,12,33100
CR-70071,2026-05-25,Riyadh,Hyundai,Tucson,2012,,Petrol,Automatic,2.5,1,0,Excellent,Gray,Private,1,0,26800
CR-70072,2026-07-06,Abha,Hyundai,Sonata,2024,50266.0,Petrol,Automatic,2.5,2,0,Fair,White,Dealer,1,24,67600
CR-70073,2026-05-26,Madinah,Mazda,CX-5,2013,237093.0,Petrol,Automatic,2.0,3,0,Good,White,Private,0,12,21700
CR-70074,2026-06-27,Riyadh,Toyota,Land Cruiser,2016,196278.0,Petrol,Automatic,4.0,1,0,Excellent,White,Dealer,0,24,136700
CR-70075,2026-07-20,Riyadh,Chevrolet,Malibu,2014,203508.0,Petrol,Manual,1.5,4,0,Excellent,White,Dealer,1,6,18200
CR-70076,2026-05-11,Abha,Chevrolet,Tahoe,2022,64948.0,Petrol,Automatic,5.3,2,1,Good,Silver,Private,1,0,149400
CR-70077,2026-04-11,Jeddah,Nissan,Altima,2024,41681.0,Petrol,Automatic,2.5,2,0,Good,White,Dealer,0,0,69400
CR-70078,2026-05-31,Tabuk,Honda,Civic,2021,104629.0,Petrol,Automatic,1.5,1,0,Excellent,Silver,Dealer,1,0,48500
CR-70079,2026-07-17,Jeddah,GMC,Yukon,2018,157627.0,Petrol,Automatic,5.3,1,0,Excellent,White,Dealer,1,6,147700
CR-70080,2026-05-11,Jeddah,Chevrolet,Malibu,2014,204687.0,Hybrid,Automatic,2.0,2,0,Good,White,Dealer,0,0,23500
CR-70081,2026-04-23,Madinah,Toyota,Land Cruiser,2022,89332.0,Petrol,Automatic,3.5,1,0,Good,White,Private,1,0,234400
CR-70082,2026-07-08,Jeddah,Honda,Civic,2017,171989.0,Petrol,Automatic,2.0,3,0,Fair,White,Dealer,0,24,25900
CR-70083,2026-04-10,Tabuk,Chevrolet,Malibu,2021,100795.0,Hybrid,Automatic,1.5,1,0,Good,Silver,Dealer,1,0,49700
CR-70084,2026-05-29,Makkah,Hyundai,Sonata,2013,227613.0,Petrol,Automatic,2.0,1,0,Excellent,Red,Private,1,0,21200
CR-70085,2026-05-23,Jeddah,Toyota,Hilux,2019,128354.0,Petrol,Automatic,2.4,1,0,Good,Black,Dealer,1,12,71600
CR-70086,2026-05-10,Riyadh,Toyota,Land Cruiser,2024,59390.0,Petrol,Automatic,3.5,1,0,Good,White,Private,0,0,291300
CR-70087,2026-07-12,Khobar,Ford,Explorer,2012,262874.0,Diesel,Automatic,2.3,3,0,Good,White,Dealer,0,12,34500
CR-70088,2026-06-06,Riyadh,Kia,Sportage,2020,121706.0,Hybrid,Automatic,2.0,2,0,Excellent,Gray,Dealer,1,0,65900
CR-70089,2026-07-05,Tabuk,Mazda,CX-5,2022,80409.0,Petrol,Automatic,2.5,3,1,Good,Black,Dealer,1,12,62300
CR-70090,2026-06-18,Abha,Honda,Accord,2015,200879.0,Petrol,Automatic,1.5,2,0,Fair,White,Private,1,12,27100
CR-70091,2026-05-23,Tabuk,Toyota,Camry,2022,80997.0,Petrol,Automatic,2.0,1,0,Good,White,Private,1,12,86100
CR-70092,2026-05-07,Makkah,Toyota,Corolla,2020,105894.0,Petrol,Automatic,1.6,1,0,Excellent,Blue,Dealer,1,12,55300
CR-70093,2026-07-26,Tabuk,Honda,Accord,2013,221036.0,Petrol,Automatic,1.5,1,0,Good,Black,Private,1,6,25800
CR-70094,2026-05-27,Tabuk,Ford,Explorer,2017,176055.0,Petrol,Automatic,3.0,1,1,Good,White,Private,1,0,53100
CR-70095,2026-06-24,Abha,Hyundai,Elantra,2012,260246.0,Petrol,Automatic,2.0,1,0,Fair,Gray,Dealer,1,6,18000
CR-70096,2026-05-09,Tabuk,Chevrolet,Malibu,2015,205727.0,Petrol,Automatic,2.0,2,0,Excellent,White,Auction,0,6,18200
CR-70097,2026-04-29,Riyadh,GMC,Yukon,2018,141660.0,Petrol,Automatic,6.2,4,0,Good,Black,Private,1,24,112100
CR-70098,2026-07-22,Tabuk,Nissan,Altima,2016,192892.0,Petrol,Automatic,2.5,3,0,Good,Black,Private,0,0,23700
CR-70099,2026-07-06,Riyadh,Hyundai,Tucson,2018,145491.0,Petrol,Automatic,2.0,1,0,Good,Silver,Private,1,0,48800
CR-70100,2026-07-10,Tabuk,Hyundai,Sonata,2017,168367.0,Petrol,Automatic,2.0,1,0,Excellent,White,Private,1,12,35600
CR-70101,2026-05-13,Khobar,Honda,Civic,2015,188914.0,Petrol,Automatic,1.5,2,1,Good,Brown,Private,1,0,18100
CR-70102,2026-06-22,Makkah,Hyundai,Tucson,2021,95865.0,Petrol,Automatic,,4,0,Excellent,Brown,Auction,0,0,55700
CR-70103,2026-05-19,Madinah,Nissan,Altima,2015,179597.0,Petrol,Automatic,2.0,3,0,Good,White,Private,1,0,24200
CR-70104,2026-04-15,Makkah,Chevrolet,Malibu,2014,214515.0,Petrol,Automatic,2.0,3,1,Good,Brown,Dealer,1,6,18000
CR-70105,2026-04-05,Dammam,Toyota,Land Cruiser,2024,42846.0,Petrol,Automatic,4.0,1,0,Good,White,Dealer,0,0,294900
CR-70106,2026-04-10,Makkah,Mazda,CX-5,2017,175945.0,Hybrid,Automatic,2.5,2,0,Good,White,Private,1,0,40100
CR-70107,2026-06-06,Tabuk,Hyundai,Tucson,2022,96342.0,Petrol,Automatic,1.6,1,0,Excellent,White,Dealer,1,0,77600
CR-70108,2026-07-12,Makkah,Hyundai,Sonata,2023,56543.0,Petrol,Automatic,2.0,2,0,Excellent,White,Dealer,0,0,68400
CR-70109,2026-07-03,Khobar,Mercedes-Benz,E-Class,2021,101457.0,Petrol,Automatic,3.0,2,0,Fair,White,Dealer,1,24,164300
CR-70110,2026-05-16,Makkah,Hyundai,Tucson,2020,112420.0,Hybrid,Automatic,2.0,3,0,Good,Silver,Dealer,0,0,58800
CR-70111,2026-07-28,Riyadh,Chevrolet,Tahoe,2016,189053.0,Diesel,Automatic,6.2,2,1,Good,Silver,Private,0,0,68600
CR-70112,2026-05-22,Jeddah,Toyota,Camry,2021,118793.0,Hybrid,Automatic,2.5,3,0,Fair,Black,Dealer,1,24,66200
CR-70113,2026-06-18,Madinah,Toyota,Corolla,2020,133990.0,Petrol,Automatic,2.0,1,0,Good,Silver,Private,1,6,40100
CR-70114,2026-08-01,Dammam,Hyundai,Elantra,2016,176583.0,Petrol,Automatic,1.6,1,0,Good,Black,Auction,0,0,23100
CR-70115,2026-07-04,Abha,Kia,Sportage,2017,177119.0,Hybrid,Automatic,2.0,3,0,Good,Red,Auction,1,0,33800
CR-70116,2026-07-25,Abha,Toyota,Camry,2024,34962.0,Petrol,Automatic,2.5,1,1,Good,Gray,Dealer,0,0,94300
CR-70117,2026-06-26,Madinah,Mercedes-Benz,E-Class,2019,134238.0,Petrol,Automatic,3.0,2,0,Fair,Black,Private,1,12,119900
CR-70118,2026-06-12,Makkah,Toyota,Camry,2019,137791.0,Hybrid,Manual,2.0,3,0,Excellent,White,Auction,0,0,52100
CR-70119,2026-05-03,Madinah,Toyota,Camry,2013,242500.0,Hybrid,Automatic,2.5,2,0,Good,Red,Private,1,6,28000
CR-70120,2026-06-13,Jeddah,Mazda,CX-5,2017,165349.0,Hybrid,Automatic,2.5,1,0,Fair,White,Dealer,1,0,45100
CR-70121,2026-05-30,Riyadh,Kia,Cerato,2013,232220.0,Petrol,Automatic,1.6,2,0,Good,White,Dealer,1,6,18400
CR-70122,2026-05-24,Abha,Nissan,Altima,2018,144981.0,Petrol,Automatic,2.0,1,0,Excellent,Black,Dealer,1,24,43900
CR-70123,2026-04-05,Jeddah,Nissan,Altima,2019,135812.0,Petrol,Automatic,2.5,1,0,Good,Black,Private,1,24,41000
CR-70124,2026-04-07,Dammam,Mazda,CX-5,2025,16951.0,Petrol,Automatic,2.0,1,0,Excellent,Gray,Dealer,0,12,118900
CR-70125,2026-05-01,Khobar,GMC,Yukon,2025,23396.0,Hybrid,Automatic,6.2,3,1,Excellent,White,Private,1,0,238900
CR-70126,2026-04-18,Dammam,Kia,Sportage,2022,76571.0,Petrol,Automatic,2.0,2,0,Good,Silver,Dealer,1,12,77000
CR-70127,2026-06-14,Jeddah,Nissan,Patrol,2014,241517.0,Petrol,Automatic,5.6,1,0,Excellent,White,Dealer,0,24,79800
CR-70128,2026-08-01,Jeddah,Kia,Sportage,2024,52994.0,Petrol,Automatic,2.0,1,0,Excellent,,Dealer,1,0,101200
CR-70129,2026-05-22,Tabuk,Toyota,Hilux,2019,126773.0,Petrol,Manual,2.4,2,0,Excellent,White,Auction,0,24,56400
CR-70130,2026-06-15,Dammam,Toyota,Land Cruiser,2024,28172.0,Petrol,Automatic,4.0,2,0,Excellent,,Dealer,0,0,340600
CR-70131,2026-04-15,Riyadh,Mazda,CX-5,2013,227339.0,Petrol,Automatic,2.0,2,0,Excellent,Red,Private,1,12,27000
CR-70132,2026-07-13,Khobar,Kia,Sportage,2014,240484.0,Diesel,Automatic,2.5,1,1,Excellent,Silver,Auction,1,0,20200
CR-70133,2026-04-29,Abha,GMC,Yukon,2022,89544.0,Hybrid,Automatic,5.3,2,0,Excellent,Gray,Private,0,12,206600
CR-70134,2026-05-31,Dammam,Hyundai,Tucson,2013,273141.0,Hybrid,Automatic,2.5,2,0,Good,Silver,Dealer,0,24,26800
CR-70135,2026-04-21,Makkah,Honda,Civic,2021,104864.0,Petrol,Automatic,2.0,2,0,Good,White,Private,1,12,46000
CR-70136,2026-07-06,Khobar,Mercedes-Benz,E-Class,2016,172828.0,Petrol,Automatic,2.0,3,0,Good,Silver,Dealer,1,0,93700
CR-70137,2026-06-03,Riyadh,BMW,5 Series,2025,10573.0,Petrol,Automatic,2.0,1,0,Good,White,Dealer,1,0,281500
CR-70138,2026-04-14,Khobar,Hyundai,Tucson,2022,67996.0,Petrol,Automatic,2.0,1,0,Excellent,Black,Auction,0,6,73600
CR-70139,2026-07-26,Khobar,Toyota,Corolla,2022,85081.0,Petrol,Automatic,1.8,2,0,Excellent,Gray,Private,0,0,53000
CR-70140,2026-07-10,Makkah,Honda,Civic,2021,112393.0,Petrol,Automatic,2.0,2,0,Good,White,Private,0,12,39600
CR-70141,2026-07-22,Dammam,Toyota,Land Cruiser,2022,86807.0,Petrol,Automatic,4.0,1,0,Good,White,Dealer,1,0,239500
CR-70142,2026-04-14,Makkah,BMW,5 Series,2021,113250.0,Petrol,Automatic,3.0,4,0,Fair,White,Dealer,0,0,122900
CR-70143,2026-04-05,Riyadh,Mercedes-Benz,E-Class,2018,142146.0,Hybrid,Automatic,2.0,1,0,Good,Black,Private,0,0,132700
CR-70144,2026-07-05,Tabuk,Kia,Cerato,2015,216937.0,Petrol,Automatic,2.0,1,0,Excellent,Black,Private,1,6,21500
CR-70145,2026-04-19,Dammam,Honda,Accord,2012,278828.0,Petrol,Automatic,1.5,1,0,Fair,Silver,Dealer,1,0,21200
CR-70146,2026-06-24,Madinah,Toyota,Corolla,2016,191996.0,Petrol,Automatic,1.6,1,0,Excellent,Black,Dealer,1,0,28300
CR-70147,2026-06-04,Abha,Mazda,CX-5,2017,174907.0,Petrol,Automatic,2.5,1,0,Fair,White,Dealer,1,0,40400
CR-70148,2026-06-20,Makkah,Toyota,Land Cruiser,2025,14462.0,Diesel,Automatic,4.0,2,0,Good,White,Private,1,0,303300
CR-70149,2026-04-17,Tabuk,Toyota,Hilux,2019,142729.0,Petrol,Automatic,,4,1,Good,White,Dealer,1,12,48000
CR-70150,2026-06-14,Madinah,Hyundai,Elantra,2023,65283.0,Petrol,Automatic,1.6,2,0,Good,White,Dealer,0,12,48900
CR-70151,2026-05-10,Riyadh,Ford,Explorer,2021,86893.0,Petrol,Automatic,3.0,1,0,Fair,White,Dealer,1,24,122400
CR-70152,2026-06-19,Jeddah,Hyundai,Elantra,2024,40264.0,Petrol,Automatic,1.6,1,0,Good,Blue,Dealer,1,0,62900
CR-70153,2026-05-03,Khobar,Hyundai,Elantra,2013,234404.0,Petrol,Automatic,2.0,2,0,Excellent,White,Private,0,0,18000
CR-70154,2026-06-15,Riyadh,Mercedes-Benz,E-Class,2020,126095.0,Petrol,Automatic,3.0,3,0,Good,Black,Dealer,1,0,139800
CR-70155,2026-05-02,Khobar,Nissan,Altima,2021,91140.0,Petrol,Manual,2.0,1,0,Good,White,Private,1,24,49900
CR-70156,2026-04-05,Khobar,Honda,Accord,2014,228461.0,Petrol,Automatic,2.0,2,0,Good,Black,Dealer,1,0,26500
CR-70157,2026-07-06,Dammam,Toyota,Land Cruiser,2025,33046.0,Petrol,Automatic,4.0,1,0,Good,White,Dealer,0,0,323500
CR-70158,2026-05-16,Makkah,Kia,Cerato,2013,258944.0,Petrol,Automatic,2.0,1,1,Excellent,Silver,Dealer,1,0,18000
CR-70159,2026-06-20,Riyadh,Kia,Cerato,2025,42572.0,Petrol,Automatic,1.6,2,0,Fair,Gray,Private,0,0,57300
CR-70160,2026-06-14,Khobar,GMC,Yukon,2016,177443.0,Petrol,Automatic,5.3,1,0,Good,White,Dealer,1,6,108000
CR-70161,2026-06-25,Makkah,Toyota,Camry,2023,39369.0,Hybrid,Automatic,2.0,2,0,Excellent,White,Dealer,0,12,113100
CR-70162,2026-04-13,Dammam,Kia,Sportage,2012,251767.0,Petrol,Automatic,1.6,3,1,Good,Silver,Dealer,0,0,18000
CR-70163,2026-06-17,Dammam,Hyundai,Elantra,2018,156551.0,Petrol,Automatic,2.0,1,0,Excellent,White,Private,1,0,30000
CR-70164,2026-06-05,Tabuk,Honda,Accord,2016,178918.0,Hybrid,Automatic,2.0,2,0,Good,Silver,Dealer,1,6,38600
CR-70165,2026-05-03,Tabuk,BMW,5 Series,2020,116963.0,Petrol,Automatic,2.0,2,0,Good,Blue,Dealer,0,24,135200
CR-70166,2026-06-26,Tabuk,Hyundai,Tucson,2024,55287.0,Petrol,Automatic,2.0,3,0,Excellent,Blue,Dealer,1,0,87000
CR-70167,2026-07-21,Madinah,Chevrolet,Malibu,2013,239971.0,Petrol,Automatic,1.5,1,0,Good,Blue,Private,0,0,18000
CR-70168,2026-07-19,Dammam,GMC,Yukon,2013,251964.0,Petrol,Automatic,5.3,2,0,Excellent,White,Private,1,6,61300
CR-70169,2026-05-31,Madinah,Kia,Sportage,2017,181766.0,Hybrid,Automatic,1.6,2,0,Good,Silver,Auction,0,0,33500
CR-70170,2026-07-31,Khobar,Toyota,Land Cruiser,2024,41077.0,Petrol,Manual,4.0,2,0,Fair,White,Auction,1,12,206700
CR-70171,2026-07-28,Makkah,Toyota,Land Cruiser,2021,,Petrol,Automatic,4.0,2,0,Good,Gray,Private,1,0,208300
CR-70172,2026-06-23,Khobar,Toyota,Camry,2016,187686.0,Petrol,Automatic,2.5,1,0,Good,Black,Dealer,0,0,46500
CR-70173,2026-07-13,Riyadh,Toyota,Corolla,2022,72633.0,Petrol,Automatic,2.0,3,0,Fair,Gray,Dealer,0,6,47000
CR-70174,2026-06-15,Madinah,Nissan,Altima,2017,175433.0,Petrol,Automatic,2.5,1,0,Good,White,Private,0,0,32000
CR-70175,2026-06-21,Makkah,Kia,Sportage,2025,31388.0,Petrol,Automatic,2.0,3,0,Fair,White,Dealer,1,0,79900
CR-70176,2026-04-27,Khobar,Honda,Accord,2016,176082.0,Petrol,Automatic,2.0,2,0,Good,White,Dealer,1,0,36800
CR-70177,2026-05-17,Riyadh,Hyundai,Tucson,2015,232919.0,Diesel,Automatic,2.5,1,0,Good,Brown,Dealer,1,0,30100
CR-70178,2026-06-20,Madinah,Kia,Sportage,2014,235567.0,Petrol,Automatic,2.5,2,0,Fair,White,Private,0,6,19300
CR-70179,2026-07-13,Madinah,Toyota,Camry,2014,210388.0,Petrol,Automatic,2.0,2,0,Fair,Blue,Dealer,1,0,31100
CR-70180,2026-07-30,Khobar,GMC,Yukon,2017,170880.0,Petrol,Automatic,5.3,1,0,Excellent,Blue,Auction,1,24,108900
CR-70181,2026-06-22,Dammam,Nissan,Altima,2023,68682.0,Petrol,Automatic,2.5,3,0,Good,White,Dealer,0,0,61100
CR-70182,2026-07-31,Riyadh,Honda,Accord,2022,79670.0,Petrol,Automatic,2.0,1,0,Excellent,White,Private,1,12,82200
CR-70183,2026-06-14,Makkah,Toyota,Corolla,2022,75831.0,Petrol,Automatic,2.0,2,1,Fair,White,Auction,1,24,35600
CR-70184,2026-05-03,Madinah,Mazda,CX-5,2022,89102.0,Hybrid,Automatic,2.5,1,0,Good,Gray,Private,0,12,82000
CR-70185,2026-05-03,Madinah,Hyundai,Elantra,2018,152820.0,Petrol,Automatic,1.6,2,0,Excellent,Black,Dealer,1,6,31800
CR-70186,2026-04-07,Riyadh,Mercedes-Benz,E-Class,2015,192269.0,Petrol,Automatic,3.0,2,0,Good,Silver,Dealer,0,0,93100
CR-70187,2026-07-13,Madinah,Hyundai,Sonata,2013,241999.0,Petrol,Automatic,2.5,1,0,Good,Silver,Private,1,0,18600
CR-70188,2026-06-06,Jeddah,Hyundai,Sonata,2016,164641.0,Petrol,Manual,2.0,1,0,Good,White,Dealer,1,0,31000
CR-70189,2026-06-28,Dammam,Mercedes-Benz,E-Class,2020,127671.0,Petrol,Automatic,3.0,2,0,Good,Blue,Dealer,1,12,150700
CR-70190,2026-04-09,Abha,GMC,Yukon,2012,238816.0,Diesel,Automatic,5.3,2,0,Excellent,Silver,Private,1,12,56300
